source_name,latitude,longitude
ETE Palmeiras,-16.8142869,-49.9439828
WWTP_882352240,-15.6911076,-48.2762405
WWTP_882352242,-15.674695,-48.2156602
WWTP_882352263,-14.4540417,-48.4022147
WWTP_882352270,-15.4632253,-47.6371358
WWTP_882352276,-15.871391,-48.1501606
WWTP_882394434,-16.652171,-49.5309223
WWTP_882394484,-16.6468355,-49.416686
WWTP_882394521,-16.7303482,-49.1315835
WWTP_882394576,-16.3952005,-48.9092754
WWTP_882394578,-16.296093,-48.8076196
WWTP_882394591,-16.283882,-48.9029092
WWTP_882394593,-15.9827707,-48.2603015
WWTP_882405018,-16.363869,-49.4765989
WWTP_882848954,-16.3669818,-49.2915291
WWTP_882848956,-16.4947188,-49.4072429
WWTP_882862584,-16.7970145,-49.7830879
WWTP_882967626,-16.6436643,-49.3435584
WWTP_882967636,-16.0052345,-49.8018503
ETE SAAE,-13.2392144,-43.4094608
WWTP_970445118,-13.414978,-49.1639659
WWTP_1040189939,-12.1186839,-44.9598316
WWTP_1047608962,-16.5807572,-42.8803767
WWTP_1183514136,-13.3380678,-44.6341242
WWTP_1214905351,-15.7288757,-47.7791447
ETE Vieira,-16.6840992,-43.8538918
Estação de Tratamento de Esgoto de Montezuma,-15.1485738,-42.5178905
Estação de Tratamento de Esgoto de Santo Antônio do Retiro,-15.3447231,-42.6263786
Estação de Tratamento de Esgoto de São João do Paraíso,-15.339756,-42.0132261
Estação de Tratamento de Esgoto de Taiobeiras,-15.8299738,-42.202249
Estação de Tratamento de Esgotos de Ferreirópolis,-15.9833464,-42.228521
WWTP_1410053594,-12.4124977,-44.713111
WWTP_1422291631,-13.5638119,-43.5269871
Estação de Tratamento de Esgoto de Salinas,-16.1867592,-42.2937547
Estação de Tratamento de Esgoto,-15.6018303,-47.3145535
Planta de tratamiento VOTORAMTIN,-11.9759195,-76.8843778
Planta de tratamiento Juan Velasco Alvarado,-12.2129851,-76.9479243
Planta de Tratamiento de Aguas Residuales Carapongo,-11.9963261,-76.8376277
Planta de tratamiento de agua residuales Ventanilla,-11.8613159,-77.1470862
Planta de tratamiento de aguas residuales - Cieneguilla,-12.1305198,-76.8237037
WWTP_382573626,-12.2930768,-76.8254214
WWTP_414723236,-10.0634563,-76.2143678
Planta de neutralización de aguas ácidas,-10.6824357,-76.2738032
Planta de tratamiento de aguas residuales Manchay,-12.1674151,-76.8660363
WWTP_560097902,-11.9230651,-76.6929901
WWTP_560191117,-11.5069044,-77.2530393
Planta La Chira,-12.2060672,-77.0305494
WWTP_646054733,-12.1186044,-76.0131774
WWTP_665972462,-10.372805,-77.1342425
WWTP_760866586,-14.0947095,-75.8415479
Planta de tratamiento de aguas residuales Ancón,-11.7549805,-77.1674493
Planta de Tratamiento de Vilcacoto,-12.0144907,-75.1827033
WWTP_912174674,-11.8072661,-77.118539
Taobada,-11.9959693,-77.1321784
WWTP_925787242,-11.334448,-75.5564988
WWTP_994586626,-10.6714376,-76.7769852
Lagunas de Oxidación,-13.6952863,-76.2065979
WWTP_1242661731,-13.8189418,-76.2341564
WWTP_1242664147,-14.1178503,-75.7270904
São Paulo Metro,-23.5505,-46.6333
Rio de Janeiro Metro,-22.9068,-43.1729
Buenos Aires Metro,-34.6037,-58.3816
Bogotá Metro,4.711,-74.0721
Lima Metro,-12.0464,-77.0428
Santiago Metro,-33.4489,-70.6693
Brasília,-15.7942,-47.8822
Belo Horizonte,-19.9167,-43.9345
Porto Alegre,-30.0346,-51.2177
Medellín,6.2476,-75.5658
Córdoba AR,-31.4201,-64.1888
Cali,3.4516,-76.532
Montevideo,-34.9011,-56.1645
Guayaquil,-2.1894,-79.889
Quito,-0.1807,-78.4678
