sample_id,latitude,longitude,shannon_diversity,pielou_evenness,species_richness,dominant_phylum
Micro_P_0000323,-3.83,-60.3,5.618607568127156,0.8785578950801392,599,Unknown
Micro_P_0000334,-3.83,-60.3,5.317027295656526,0.7879894943940782,852,Unknown
Micro_P_0000335,-3.83,-60.3,4.745282672840304,0.8039263841763751,366,Unknown
Micro_P_0000338,-3.83,-60.3,5.183516103411966,0.7033645783514997,1587,Unknown
Micro_P_0000339,-3.83,-60.3,5.715983167390302,0.8179228987366185,1084,Unknown
Micro_P_0000348,-3.83,-60.3,4.275785360539625,0.6963950745603631,464,Unknown
Micro_P_0000349,-3.83,-60.3,5.02058082386486,0.7869097803103426,590,Unknown
Micro_P_0000001,-20.88,-48.24,4.537236970530554,0.7003519669045022,651,Unknown
Micro_P_0000006,-23.85,-49.15,3.405193084608097,0.5630864090698524,423,Unknown
Micro_P_0000019,-20.31,-49.73,4.303305324000128,0.7188406956577049,398,Unknown
Micro_P_0000023,-21.57,-48.81,5.147483029997042,0.7465887418188903,987,Unknown
Micro_P_0000024,-21.57,-48.81,5.040098878299169,0.6903797886143715,1481,Unknown
Micro_P_0000099,-21.32,-49.75,4.222731053716483,0.6851396023049465,475,Unknown
Micro_P_0000101,-21.32,-49.75,4.4024517370812735,0.68893363590687,596,Unknown
Micro_P_0000104,-21.32,-49.75,5.544978719504078,0.7444007481316877,1718,Unknown
Micro_P_0000106,-21.32,-49.75,5.966089545212496,0.7991380926887939,1747,Unknown
Micro_P_0000116,-21.32,-49.75,2.6604555499185416,0.4880639849785414,233,Unknown
Micro_P_0000119,-21.32,-49.75,4.761278279932678,0.7691495453415398,488,Unknown
Micro_P_0000121,-21.32,-49.75,4.8285196328667865,0.7821002463650435,480,Unknown
Micro_P_0000131,-21.32,-49.75,5.388414135568884,0.835967787393297,630,Unknown
Micro_P_0000133,-21.32,-49.75,3.462748756204943,0.5105648332588999,882,Unknown
Micro_P_0000134,-21.32,-49.75,4.231757159139319,0.6292544222538377,833,Unknown
Micro_P_0000136,-21.32,-49.75,5.075960296318342,0.6862235455468408,1631,Unknown
Micro_P_0000138,-21.32,-49.75,4.7638196070864565,0.759203232084262,531,Unknown
Micro_P_0000035,-22.62,-49.98,5.5389104855878,0.6533086565210062,4809,Unknown
Micro_P_0000036,-22.62,-49.98,5.315378323898697,0.706251922137136,1856,Unknown
Micro_P_0000037,-22.18,-51.09,5.3848837399208955,0.6496983404825263,3977,Unknown
Micro_P_0000038,-22.18,-51.09,5.120701282414658,0.7273169256721348,1142,Unknown
Micro_P_0000065,-22.32,-48.05,4.868866700474244,0.694887752763316,1104,Unknown
Micro_P_0000066,-22.71,-48.57,4.010348354388714,0.6690647584281826,401,Unknown
Micro_P_0000067,-22.44,-48.91,3.9779346396049116,0.6745516106397699,364,Unknown
Micro_P_0000068,-21.66,-48.1,3.820466897219056,0.5867039793197034,673,Unknown
Micro_P_0000069,-22.01,-47.18,5.116532830803557,0.6984885713821122,1518,Unknown
Micro_P_0000070,-22.01,-47.18,5.514348572220326,0.6737539624973254,3585,Unknown
Micro_P_0000072,-21.17,-47.86,3.756254105698698,0.5675180899341966,749,Unknown
Micro_P_0000075,-19.99,-47.49,3.918343096861811,0.6269373789463616,518,Unknown
Micro_P_0000076,-20.61,-47.66,1.994868009065496,0.32749409366529586,442,Unknown
Micro_P_0000077,-20.49,-48.6,4.852443677455747,0.7353848659466957,734,Unknown
Micro_P_0000078,-20.49,-48.6,5.511573987941521,0.6841483322426332,3153,Unknown
Micro_P_0000087,-22.33,-49.01,4.696802554169073,0.6500331599854604,1374,Unknown
Micro_P_0000090,-20.54,-47.81,4.769644929962982,0.6407657751628318,1709,Unknown
Micro_P_0000091,-22.53,-48.52,4.461489409356252,0.7238782296882943,475,Unknown
Micro_P_0000093,-22.53,-48.52,4.954823111871583,0.7197084346733936,977,Unknown
Micro_P_0000096,-22.53,-48.52,4.8072414243600985,0.7432692257228272,644,Unknown
Micro_P_0000098,-22.53,-48.52,4.7327711961947685,0.8036796193912972,361,Unknown
Micro_P_0000102,-22.53,-48.52,5.754326887412111,0.8069567419697878,1250,Unknown
Micro_P_0000108,-22.53,-48.52,5.678627537546452,0.7569296694619757,1812,Unknown
Micro_P_0000111,-22.53,-48.52,5.505448424197598,0.7290331341024866,1904,Unknown
Micro_P_0000113,-22.53,-48.52,4.551722442963294,0.7370175303144665,481,Unknown
Micro_P_0000123,-22.53,-48.52,4.508724622206338,0.714751785187328,549,Unknown
Micro_P_0000125,-22.53,-48.52,5.101709179686848,0.6885137446489721,1652,Unknown
Micro_P_0000126,-22.53,-48.52,5.112001231909368,0.7529860817562198,888,Unknown
Micro_P_0000128,-22.53,-48.52,4.926453311034335,0.7412223672426208,770,Unknown
Micro_P_0000092,-21.11,-50.18,5.014758219479982,0.7558455680957504,761,Unknown
Micro_P_0000094,-21.11,-50.18,4.637045491897949,0.7845043183093062,369,Unknown
Micro_P_0000095,-21.11,-50.18,4.930793551795598,0.733330819170946,832,Unknown
